codigo,nombre,hombre_casos,hombre_porciento,mujer_casos,mujer_porciento,total_casos,total_porciento
68|575,Puerto Wilches,0,0,1,17.43,1,8.66
68|615,Rionegro,0,0,2,45.87,2,22.15
68|655,Sabana de Torres,4,130.72,4,138.46,8,134.48
68|669,San Andrés,0,0,1,90.25,1,43.14
68|679,San Gil,11,186.25,14,237.57,25,211.88
68|684,San José de Miranda,2,280.9,0,0,2,143.27
68|689,San Vicente de Chucurí,7,118.24,3,52.61,10,86.04
68|705,Santa Bárbara,0,0,2,615.38,2,291.12
68|72,Santa Helena del Opón,0,0,1,125.31,1,61.01
68|745,Simacota,1,73.26,0,0,1,38.08
68|77,Suaita,1,63.25,1,68.54,2,65.79
68|773,Sucre,1,66.98,0,0,1,34.97
68|861,Vélez,4,113.9,1,30.59,5,73.74
68|895,Zapatoca,0,0,3,235.11,3,115.38
70,Sucre,73,47.57,73,49.81,146,48.67
70|215,Corozal,5,49.82,2,20.71,7,35.54
70|418,Los Palmitos,0,0,2,66.09,2,32.28
70|508,Ovejas,0,0,1,26.92,1,13.01
70|67,Sampués,1,13.92,0,0,1,7.16
70|702,San Juan de Betulia,2,100.96,0,0,2,51.6
70|742,San Luis de Sincé,0,0,1,17.94,1,8.62
70|708,San Marcos,0,0,1,9.33,1,4.66
